DoctorKey,AreaOfMedicine,EmailAddress,FirstName,LastName,PhoneNumber,AddressLine1,AddressLine2,City,State,Zip
D1,INTERNAL MEDICINE,parkerwilliam@murphy-figueroa.net,Natalie,Banks,895-508-9120,1501 Jenkins Motorway,Suite 494,Lake Kristenshire,Arizona,46297
D2,OBSTETRICS AND GYNECOLOGY,nicholas93@perkins.com,Scott,Owens,293.684.1329,9411 Long Mountain,Apt. 119,South Nicoleberg,Ohio,58580
D3,PATHOLOGY,moorejames@mcdowell.com,Jennifer,Hale,(016)480-9390x3396,974 Amanda Forest,Apt. 384,Lake Stephenchester,Iowa,89693
D4,NEUROLOGY,jeremy77@mitchell-rodriguez.info,Daniel,Bryant,912.885.1315,997 Douglas Junctions Suite 219,Suite 333,Coleberg,Vermont,89688
D5,PEDIATRICS,tdavis@riddle-gay.com,Alec,Schroeder,2931029242,3347 Cindy Springs Apt. 528,Apt. 768,Kimberlyfort,Ohio,18788
D6,MEDICAL GENETICS,howardanthony@yahoo.com,Tamara,Maxwell,(195)744-6029x5671,403 Elizabeth Gateway Suite 408,Suite 805,East Glenn,California,36215
D7,OBSTETRICS AND GYNECOLOGY,patrick13@hotmail.com,Brandy,Barnes,523.929.0224x7014,695 Sheryl Brook Apt. 638,Apt. 436,Port Jamesmouth,Alaska,03971
D8,PSYCHIATRY,dennis15@yahoo.com,Alexander,Johnson,987-529-6276x02061,67800 Logan Trace Suite 387,Apt. 877,Kennedyville,Alaska,03130
D9,EMERGENCY MEDICINE,rsexton@hotmail.com,Tracey,Russell,762.716.8876x8857,34934 Sean Lodge Apt. 585,Apt. 224,South Williamport,South Carolina,80222
D10,ANESTHESIOLOGY,staylor@gmail.com,Erin,Porter,460-204-6769x8143,5005 Robert Mall,Suite 123,West Joshuafurt,Louisiana,97738
D11,EMERGENCY MEDICINE,david78@gmail.com,Lisa,Vincent,001-370-606-3245,54466 Good Crossing Suite 818,Suite 787,Port Hannah,Maryland,20023
D12,OPHTHALMOLOGY,angela50@price-flores.com,Mark,Bates,490-458-5748x192,16730 Arthur Turnpike,Apt. 686,North Maria,Kansas,68057
D13,ALLERGY & IMMUNOLOGY,qochoa@hotmail.com,Cindy,Myers,(282)187-0987x07600,21504 Rojas Spring Suite 570,Suite 449,Matthewsshire,South Dakota,67472
D14,ALLERGY & IMMUNOLOGY,qgonzalez@hogan.com,George,Kane,479-129-8692,2030 Norris Flat Suite 830,Apt. 690,Riddletown,Wisconsin,29219
D15,RADIATION ONCOLOGY,amber22@little.biz,Adam,Simpson,635-280-3321,723 Danny Falls,Apt. 485,Hartmouth,Oklahoma,20004
D16,RADIATION ONCOLOGY,yholmes@yahoo.com,Frank,White,765-726-4196x424,2941 Werner Tunnel,Suite 344,Cartershire,South Carolina,83350
D17,NEUROLOGY,osparks@yahoo.com,Julie,Berger,+1-450-806-2507x1376,58159 Lopez Stravenue Apt. 655,Apt. 259,Rachelmouth,Nevada,68083
D18,ALLERGY & IMMUNOLOGY,kyle58@yahoo.com,Rebecca,Wood,532.459.8606,93758 Williams Walks,Apt. 214,Mooreton,Wyoming,98070
D19,SURGERY,hickscynthia@yahoo.com,Lisa,Collins,650.966.3144,1695 David Station Apt. 473,Suite 928,Port Jonathan,Nebraska,84277
D20,UROLOGY,johnsonfrank@melendez.com,Christine,Johnson,(858)386-3232x1042,420 Nicole Turnpike Suite 950,Suite 978,Buchananshire,South Dakota,05474
D21,ALLERGY & IMMUNOLOGY,vmontgomery@peterson.org,Amy,Ramsey,046.506.9866x2545,95243 Olson Place Suite 696,Suite 277,Nancymouth,South Dakota,57691
D22,UROLOGY,jason09@yahoo.com,Alex,Zimmerman,+1-462-205-7537,37886 Gloria Passage,Suite 231,East Daryl,Tennessee,20331
D23,NUCLEAR MEDICINE,maria93@palmer-peters.com,Daniel,Costa,(941)826-2884,7852 William Bypass,Suite 011,Nicholsonhaven,Maine,67699
